departamento,anio,dia_semana,siniestros
CAJAMARCA,2019,SÁBADO,373
CAJAMARCA,2019,DOMINGO,298
CAJAMARCA,2020,LUNES,163
CAJAMARCA,2020,MARTES,161
CAJAMARCA,2020,MIÉRCOLES,183
CAJAMARCA,2020,JUEVES,159
CAJAMARCA,2020,VIERNES,219
CAJAMARCA,2020,SÁBADO,262
CAJAMARCA,2020,DOMINGO,156
CAJAMARCA,2021,LUNES,312
CAJAMARCA,2021,MARTES,318
CAJAMARCA,2021,MIÉRCOLES,282
CAJAMARCA,2021,JUEVES,292
CAJAMARCA,2021,VIERNES,336
CAJAMARCA,2021,SÁBADO,260
CAJAMARCA,2021,DOMINGO,206
CAJAMARCA,2022,LUNES,266
CAJAMARCA,2022,MARTES,225
CAJAMARCA,2022,MIÉRCOLES,306
CAJAMARCA,2022,JUEVES,347
CAJAMARCA,2022,VIERNES,330
CAJAMARCA,2022,SÁBADO,374
CAJAMARCA,2022,DOMINGO,260
CAJAMARCA,2023,LUNES,306
CAJAMARCA,2023,MARTES,219
CAJAMARCA,2023,MIÉRCOLES,244
CAJAMARCA,2023,JUEVES,259
CAJAMARCA,2023,VIERNES,370
CAJAMARCA,2023,SÁBADO,376
CAJAMARCA,2023,DOMINGO,318
CAJAMARCA,2024,LUNES,283
CAJAMARCA,2024,MARTES,257
CAJAMARCA,2024,MIÉRCOLES,286
CAJAMARCA,2024,JUEVES,300
CAJAMARCA,2024,VIERNES,306
CAJAMARCA,2024,SÁBADO,372
CAJAMARCA,2024,DOMINGO,474
CALLAO,2008,LUNES,475
CALLAO,2008,MARTES,289
CALLAO,2008,MIÉRCOLES,374
CALLAO,2008,JUEVES,405
CALLAO,2008,VIERNES,684
CALLAO,2008,SÁBADO,747
CALLAO,2008,DOMINGO,325
