departamento,anio,tipo_siniestro,siniestros
AREQUIPA,2009,CHOQUE,2332
AREQUIPA,2009,CHOQUE Y FUGA,557
AREQUIPA,2009,VOLCADURA,118
AREQUIPA,2009,CAIDA DE PASAJERO,302
AREQUIPA,2009,INCENDIO,14
AREQUIPA,2009,OTRO,557
AREQUIPA,2010,ATROPELLO,1074
AREQUIPA,2010,ATROPELLO Y FUGA,166
AREQUIPA,2010,CHOQUE,2329
AREQUIPA,2010,CHOQUE Y FUGA,457
AREQUIPA,2010,VOLCADURA,122
AREQUIPA,2010,CAIDA DE PASAJERO,229
AREQUIPA,2010,INCENDIO,17
AREQUIPA,2010,DESPISTE,2
AREQUIPA,2010,OTRO,413
AREQUIPA,2011,ATROPELLO,1128
AREQUIPA,2011,ATROPELLO Y FUGA,167
AREQUIPA,2011,CHOQUE,2832
AREQUIPA,2011,CHOQUE Y FUGA,554
AREQUIPA,2011,VOLCADURA,120
AREQUIPA,2011,CAIDA DE PASAJERO,269
AREQUIPA,2011,INCENDIO,136
AREQUIPA,2011,DESPISTE,104
AREQUIPA,2011,OTRO,327
AREQUIPA,2012,ATROPELLO,975
AREQUIPA,2012,ATROPELLO Y FUGA,151
AREQUIPA,2012,CHOQUE,2932
AREQUIPA,2012,CHOQUE Y FUGA,578
AREQUIPA,2012,VOLCADURA,151
AREQUIPA,2012,CAIDA DE PASAJERO,231
AREQUIPA,2012,INCENDIO,159
AREQUIPA,2012,DESPISTE,13
AREQUIPA,2012,OTRO,514
AREQUIPA,2013,ATROPELLO,1058
AREQUIPA,2013,ATROPELLO Y FUGA,193
AREQUIPA,2013,CHOQUE,3384
AREQUIPA,2013,CHOQUE Y FUGA,720
AREQUIPA,2013,VOLCADURA,165
AREQUIPA,2013,CAIDA DE PASAJERO,236
AREQUIPA,2013,INCENDIO,105
AREQUIPA,2013,DESPISTE,70
AREQUIPA,2013,OTRO,507
AREQUIPA,2014,ATROPELLO,765
AREQUIPA,2014,ATROPELLO Y FUGA,135
AREQUIPA,2014,CHOQUE,2859
AREQUIPA,2014,CHOQUE Y FUGA,462
AREQUIPA,2014,VOLCADURA,113
AREQUIPA,2014,CAIDA DE PASAJERO,180
AREQUIPA,2014,INCENDIO,16
AREQUIPA,2014,DESPISTE,328
AREQUIPA,2014,OTRO,772
AREQUIPA,2015,ATROPELLO,711
